hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_total_mm_pop,has_payout,payout_amount_usd
rain,TTO,Trinidad and Tobago,2021,4,2021-04-01,2020/21,52.487685299862,52.487685299862,0,0.0
rain,TTO,Trinidad and Tobago,2021,5,2021-05-01,2020/21,99.26706598905228,99.26706598905228,0,0.0
rain,TTO,Trinidad and Tobago,2021,6,2021-06-01,2021/22,246.07254278258375,246.07254278258375,0,0.0
rain,TTO,Trinidad and Tobago,2021,7,2021-07-01,2021/22,300.55032950382395,300.55032950382395,0,0.0
rain,TTO,Trinidad and Tobago,2021,8,2021-08-01,2021/22,461.0739534790373,461.0739534790373,1,2381464.0
rain,TTO,Trinidad and Tobago,2021,9,2021-09-01,2021/22,122.24393773087596,122.24393773087596,0,0.0
rain,TTO,Trinidad and Tobago,2021,10,2021-10-01,2021/22,191.73577142452808,191.73577142452808,0,0.0
rain,TTO,Trinidad and Tobago,2021,11,2021-11-01,2021/22,56.90942058648784,56.90942058648784,0,0.0
rain,TTO,Trinidad and Tobago,2021,12,2021-12-01,2021/22,170.43984840480786,170.43984840480786,0,0.0
rain,TTO,Trinidad and Tobago,2022,1,2022-01-01,2021/22,52.398350366070176,52.398350366070176,0,0.0
rain,TTO,Trinidad and Tobago,2022,2,2022-02-01,2021/22,57.59993767356188,57.59993767356188,0,0.0
rain,TTO,Trinidad and Tobago,2022,3,2022-03-01,2021/22,40.76148519303749,40.76148519303749,0,0.0
rain,TTO,Trinidad and Tobago,2022,4,2022-04-01,2021/22,53.255000379383695,53.255000379383695,0,0.0
rain,TTO,Trinidad and Tobago,2022,5,2022-05-01,2021/22,55.91929807000102,55.91929807000102,0,0.0
rain,TTO,Trinidad and Tobago,2022,6,2022-06-01,2022/23,342.2799745484377,342.2799745484377,0,0.0
